goos: linux
goarch: amd64
pkg: github.com/asserchiu/go-utils/strconcator
Benchmark_10_PlusEqual-4                       	 2000000	       887 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       908 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       902 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       920 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       858 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       893 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       889 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       880 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       887 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       866 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       316 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       321 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       321 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       316 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       322 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       315 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       320 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       326 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       334 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       329 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       734 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       746 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       734 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       752 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       775 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       735 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       747 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       729 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       732 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       729 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_BytesBuffer-4                     	 5000000	       382 ns/op	     144 B/op	       2 allocs/op
Benchmark_10_BytesBuffer-4                     	 5000000	       367 ns/op	     144 B/op	       2 allocs/op
Benchmark_10_BytesBuffer-4                     	 5000000	       379 ns/op	     144 B/op	       2 allocs/op
