goos: linux
goarch: amd64
pkg: github.com/asserchiu/go-utils/strconcator
Benchmark_10_PlusEqual-4                       	 2000000	       866 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       885 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       915 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       911 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       881 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       910 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       879 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       908 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       927 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       895 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       389 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 3000000	       378 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 3000000	       373 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 3000000	       366 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       365 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       368 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 3000000	       366 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       376 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       367 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       367 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       748 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       744 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       778 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       764 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       778 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       738 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       777 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       750 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       762 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_StringConcator_WriteStrings-4     	 2000000	       742 ns/op	     120 B/op	       5 allocs/op
Benchmark_10_BytesBuffer-4                     	 3000000	       387 ns/op	     144 B/op	       2 allocs/op
Benchmark_10_BytesBuffer-4                     	 5000000	       388 ns/op	     144 B/op	       2 allocs/op
Benchmark_10_BytesBuffer-4                     	 5000000	       375 ns/op	     144 B/op	       2 allocs/op
Benchmark_10_BytesBuffer-4                     	 3000000	       385 ns/op	     144 B/op	       2 allocs/op
Benchmark_10_BytesBuffer-4                     	 5000000	       384 ns/op	     144 B/op	       2 allocs/op
Benchmark_10_BytesBuffer-4                     	 3000000	       381 ns/op	     144 B/op	       2 allocs/op
Benchmark_10_BytesBuffer-4                     	 5000000	       386 ns/op	     144 B/op	       2 allocs/op
Benchmark_10_BytesBuffer-4                     	 5000000	       391 ns/op	     144 B/op	       2 allocs/op
Benchmark_10_BytesBuffer-4                     	 5000000	       386 ns/op	     144 B/op	       2 allocs/op
Benchmark_10_BytesBuffer-4                     	 5000000	       381 ns/op	     144 B/op	       2 allocs/op
Benchmark_10_StringsBuilder-4                  	 5000000	       234 ns/op	      56 B/op	       3 allocs/op
Benchmark_10_StringsBuilder-4                  	10000000	       233 ns/op	      56 B/op	       3 allocs/op
Benchmark_10_StringsBuilder-4                  	 5000000	       235 ns/op	      56 B/op	       3 allocs/op
Benchmark_10_StringsBuilder-4                  	10000000	       229 ns/op	      56 B/op	       3 allocs/op
Benchmark_10_StringsBuilder-4                  	10000000	       230 ns/op	      56 B/op	       3 allocs/op
Benchmark_10_StringsBuilder-4                  	 5000000	       228 ns/op	      56 B/op	       3 allocs/op
Benchmark_10_StringsBuilder-4                  	 5000000	       222 ns/op	      56 B/op	       3 allocs/op
Benchmark_10_StringsBuilder-4                  	 5000000	       229 ns/op	      56 B/op	       3 allocs/op
Benchmark_10_StringsBuilder-4                  	 5000000	       228 ns/op	      56 B/op	       3 allocs/op
Benchmark_10_StringsBuilder-4                  	 5000000	       221 ns/op	      56 B/op	       3 allocs/op
Benchmark_100_PlusEqual-4                      	  100000	     17573 ns/op	   16016 B/op	      99 allocs/op
Benchmark_100_PlusEqual-4                      	  100000	     18333 ns/op	   16016 B/op	      99 allocs/op
Benchmark_100_PlusEqual-4                      	  100000	     18037 ns/op	   16016 B/op	      99 allocs/op
Benchmark_100_PlusEqual-4                      	  100000	     18355 ns/op	   16016 B/op	      99 allocs/op
Benchmark_100_PlusEqual-4                      	  100000	     18135 ns/op	   16016 B/op	      99 allocs/op
Benchmark_100_PlusEqual-4                      	  100000	     17886 ns/op	   16016 B/op	      99 allocs/op
Benchmark_100_PlusEqual-4                      	  100000	     17894 ns/op	   16016 B/op	      99 allocs/op
Benchmark_100_PlusEqual-4                      	  100000	     18268 ns/op	   16016 B/op	      99 allocs/op
Benchmark_100_PlusEqual-4                      	  100000	     18147 ns/op	   16016 B/op	      99 allocs/op
Benchmark_100_PlusEqual-4                      	  100000	     17655 ns/op	   16016 B/op	      99 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1783 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1860 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1832 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1794 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1855 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1808 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1787 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1812 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1858 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1827 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  200000	      5555 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  300000	      5588 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  300000	      5622 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  200000	      5789 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  200000	      5597 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  200000	      5470 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  300000	      5640 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  300000	      5537 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  200000	      5744 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  300000	      5516 ns/op	    1368 B/op	       9 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3256 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3198 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3003 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3216 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3114 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3194 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3091 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3147 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3043 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3188 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1559 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1513 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1564 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1511 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1572 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1610 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1577 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1544 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1475 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1564 ns/op	    1016 B/op	       7 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    755829 ns/op	 1602960 B/op	     999 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    740263 ns/op	 1602960 B/op	     999 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    763503 ns/op	 1602960 B/op	     999 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    765880 ns/op	 1602960 B/op	     999 allocs/op
